Provider Org Code,Provider Org Name,Total All,New_RTT_Periods,Completed_RTT_Pathways,Break_Even_Demand_Increase_Pct
NT343,SPIRE THAMES VALLEY HOSPITAL,364,58.0,108.0,18.620689655172416
NT344,SPIRE DUNEDIN HOSPITAL,293,92.0,162.0,17.60869565217391
NT345,SPIRE CLARE PARK HOSPITAL,309,118.0,156.0,13.22033898305085
NT347,SPIRE FYLDE COAST HOSPITAL,3410,912.0,1342.0,14.714912280701755
NT348,SPIRE ELLAND HOSPITAL,1294,716.0,1054.0,14.720670391061452
NT350,SPIRE METHLEY PARK HOSPITAL,935,720.0,894.0,12.416666666666668
NT351,SPIRE HULL AND EAST RIDING HOSPITAL,2910,1118.0,1420.0,12.701252236135957
NT364,SPIRE MONTEFIORE HOSPITAL,665,100.0,370.0,37.0
NT3X3,SPIRE ST ANTHONY'S HOSPITAL,1017,484.0,212.0,4.380165289256198
NT401,ALEXANDRA HOSPITAL,579,282.0,364.0,12.907801418439716
NT402,BATH CLINIC,696,402.0,446.0,11.09452736318408
NT403,BEARDWOOD HOSPITAL,2121,1276.0,1428.0,11.191222570532917
NT404,BEAUMONT HOSPITAL,3498,1602.0,1472.0,9.188514357053684
NT405,BISHOPS WOOD HOSPITAL,657,588.0,456.0,7.755102040816326
NT406,BLACKHEATH HOSPITAL,1321,842.0,872.0,10.356294536817103
NT408,CHAUCER HOSPITAL,869,502.0,566.0,11.274900398406375
NT409,CHELSFIELD PARK HOSPITAL,720,524.0,558.0,10.648854961832061
NT410,CHILTERN HOSPITAL,415,324.0,292.0,9.012345679012347
NT411,CLEMENTINE CHURCHILL HOSPITAL,2145,1982.0,1650.0,8.324924318869828
NT412,DROITWICH SPA HOSPITAL,1110,580.0,774.0,13.344827586206897
NT416,HENDON HOSPITAL,1143,870.0,1062.0,12.206896551724137
NT417,GORING HALL HOSPITAL,906,488.0,310.0,6.352459016393443
NT418,HAMPSHIRE CLINIC,364,166.0,156.0,9.397590361445785
NT419,HARBOUR HOSPITAL,170,52.0,80.0,15.384615384615385
NT420,HIGHFIELD HOSPITAL,1083,472.0,560.0,11.864406779661017
NT421,KINGS OAK HOSPITAL,1464,878.0,812.0,9.248291571753986
NT422,LONDON INDEPENDENT HOSPITAL,4005,2502.0,2406.0,9.616306954436451
NT423,MANOR HOSPITAL,696,144.0,208.0,14.444444444444446
NT424,MERIDEN HOSPITAL,1897,1670.0,1548.0,9.269461077844312
NT427,PARK HOSPITAL,2377,1172.0,886.0,7.559726962457339
NT428,PRINCESS MARGARET HOSPITAL,59,88.0,68.0,7.727272727272728
NT429,PRIORY HOSPITAL,547,374.0,402.0,10.74866310160428
NT430,RIDGEWAY HOSPITAL,399,250.0,196.0,7.840000000000001
NT431,RUNNYMEDE HOSPITAL,268,194.0,136.0,7.010309278350515
NT433,SARUM ROAD HOSPITAL,256,66.0,122.0,18.484848484848488
NT434,SAXON CLINIC,782,164.0,246.0,15.000000000000002
NT435,SHELBURNE HOSPITAL,125,82.0,84.0,10.24390243902439
NT436,SHIRLEY OAKS HOSPITAL,1057,650.0,650.0,10.0
NT437,SLOANE HOSPITAL,703,574.0,492.0,8.571428571428571
NT440,THORNBURY HOSPITAL,730,410.0,292.0,7.121951219512196
NT441,THREE SHIRES HOSPITAL,3728,1654.0,1514.0,9.153567110036276
NT443,WINTERBOURNE HOSPITAL,424,138.0,180.0,13.043478260869565
NT446,ST EDMUNDS HOSPITAL,394,198.0,266.0,13.434343434343434
NT447,DUCHY HOSPITAL,351,218.0,208.0,9.541284403669724
NT448,HUDDERSFIELD PRIVATE HOSPITAL,1120,1008.0,996.0,9.880952380952381
NT449,LANCASTER PRIVATE HOSPITAL,284,246.0,258.0,10.487804878048781
NT450,LINCOLN PRIVATE HOSPITAL,1198,612.0,594.0,9.705882352941178
NT451,CAVELL HOSPITAL,1499,958.0,644.0,6.722338204592902
NT455,MOUNT ALVERNIA HOSPITAL,255,158.0,150.0,9.49367088607595
NT457,WOODLANDS HOSPITAL,2800,1628.0,1468.0,9.017199017199019
NT490,SOUTHEND PRIVATE HOSPITAL,1234,786.0,874.0,11.119592875318068
NTE02,ST HUGH'S HOSPITAL,2229,1394.0,1066.0,7.647058823529412
NTP11,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,10481,4418.0,4872.0,11.027614305115438
NTP13,PRACTICE PLUS GROUP HOSPITAL - BARLBOROUGH,2017,1158.0,976.0,8.42832469775475
NTP15,PRACTICE PLUS GROUP HOSPITAL - ILFORD,4736,3696.0,3730.0,10.091991341991342
NTP16,PRACTICE PLUS GROUP SURGICAL CENTRE - GILLINGHAM,1072,1560.0,1366.0,8.756410256410255
NTPAD,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,1937,3054.0,3220.0,10.54354944335298
NTPAE,PRACTICE PLUS GROUP OPHTHALMOLOGY - NORTH WEST,1544,1120.0,816.0,7.285714285714287
NTPH1,PRACTICE PLUS GROUP HOSPITAL - SHEPTON MALLET,2947,1880.0,1852.0,9.851063829787234
NTPH2,PRACTICE PLUS GROUP HOSPITAL - EMERSONS GREEN,5409,3890.0,3454.0,8.879177377892033
NTPH3,PRACTICE PLUS GROUP SURGICAL CENTRE - DEVIZES,2722,1940.0,2126.0,10.958762886597938
NTPH5,PRACTICE PLUS GROUP HOSPITAL - PLYMOUTH,1575,2458.0,1502.0,6.110659072416599
NTX,THE ONE HEALTH GROUP PLC,4988,3610.0,4028.0,11.157894736842106
NV1,INHEALTH LIMITED,826,488.0,620.0,12.704918032786885
NVC01,ASHTEAD HOSPITAL,1051,558.0,216.0,3.870967741935484
NVC02,THE BERKSHIRE INDEPENDENT HOSPITAL,1096,556.0,298.0,5.359712230215828
NVC04,DUCHY HOSPITAL,1730,674.0,478.0,7.0919881305637995
NVC05,EUXTON HALL HOSPITAL,3232,1394.0,760.0,5.4519368723099
NVC06,FITZWILLIAM HOSPITAL,6455,2032.0,1244.0,6.122047244094488
NVC07,FULWOOD HALL HOSPITAL,4115,2186.0,1128.0,5.160109789569992
NVC08,MOUNT STUART HOSPITAL,2200,564.0,514.0,9.113475177304965
NVC09,NEW HALL HOSPITAL,3486,1536.0,710.0,4.622395833333334
NVC0I,BEACON PARK HOSPITAL,1184,382.0,352.0,9.214659685863875
NVC0R,TEES VALLEY HOSPITAL,4112,2940.0,1828.0,6.217687074829932
NVC0Y,EXETER MEDICAL,275,108.0,96.0,8.888888888888891
NVC11,NORTH DOWNS HOSPITAL,1533,702.0,328.0,4.672364672364672
NVC12,OAKLANDS HOSPITAL,3352,1572.0,934.0,5.9414758269720105
NVC13,OAKS HOSPITAL,964,296.0,316.0,10.675675675675675
NVC14,PARK HILL HOSPITAL,734,440.0,256.0,5.818181818181818
NVC15,PINEHILL HOSPITAL,1909,756.0,406.0,5.37037037037037
NVC16,RENACRES HOSPITAL,4854,1390.0,514.0,3.697841726618705
NVC17,ROWLEY HALL HOSPITAL,2354,782.0,740.0,9.462915601023019
NVC18,SPRINGFIELD HOSPITAL,4412,1794.0,1084.0,6.0423634336677825
NVC19,RIVERS HOSPITAL,4242,1754.0,1142.0,6.510832383124288
NVC1H,STOURSIDE HOSPITAL,2866,1540.0,720.0,4.675324675324675
NVC20,THE YORKSHIRE CLINIC,7268,4348.0,1818.0,4.181232750689973
NVC21,WEST MIDLANDS HOSPITAL,671,166.0,224.0,13.493975903614459
NVC22,WINFIELD HOSPITAL,1384,674.0,356.0,5.281899109792286
NVC23,WOODLAND HOSPITAL,4641,1800.0,1034.0,5.744444444444445
NVC25,THE CHERWELL HOSPITAL,2197,1040.0,626.0,6.019230769230769
NVC27,BOSTON WEST HOSPITAL,2353,980.0,464.0,4.734693877551021
NVC28,CLIFTON PARK HOSPITAL,1569,864.0,638.0,7.3842592592592595
NVC29,COBALT HOSPITAL,2088,1068.0,520.0,4.868913857677903
NVC31,BLAKELANDS HOSPITAL,2315,1192.0,652.0,5.469798657718121
NVC40,WOODTHORPE HOSPITAL,3628,2108.0,1166.0,5.531309297912714
NVC44,THE WESTBOURNE CENTRE,3163,1202.0,648.0,5.391014975041597
NVM,EPSOMEDICAL GROUP,2926,2424.0,2376.0,9.801980198019802
NWF01,BENENDEN HOSPITAL,1517,832.0,848.0,10.192307692307693
NXM01,THE HORDER CENTRE - ST JOHNS ROAD,1288,202.0,544.0,26.930693069306933
NXP,INDEPENDENT HEALTH GROUP,855,864.0,1136.0,13.14814814814815
NYG,SUSSEX COMMUNITY DERMATOLOGY SERVICE,16318,15148.0,13984.0,9.231581726960655
O1P6X,SPAMEDICA OLDHAM,617,598.0,760.0,12.709030100334449
O5Y9D,SPAMEDICA OXFORD,165,180.0,266.0,14.777777777777779
O6X7Z,SPAMEDICA CAMBRIDGE,411,386.0,460.0,11.917098445595855
P0C3F,SPAMEDICA LEEDS,319,212.0,268.0,12.641509433962264
