Date,Provider Org Code,Provider Org Name,Total All,New_RTT_Periods,Completed_RTT_Pathways
2026-06-01,NPR01,ABOUT HEALTH HQ,1588,3570.0,2986.0
2026-06-01,NQH,NOVUS HEALTH LTD,916,1294.0,1114.0
2026-06-01,NQM01,ORTHOPAEDICS & SPINE SPECIALIST HOSPITAL SITE,174,100.0,106.0
2026-06-01,NQX,PROVIDE ENTERPRISES,251,226.0,248.0
2026-06-01,NR5,LIVEWELL SOUTHWEST,64,74.0,84.0
2026-06-01,NRF,UNIVERSITY OF SOUTHAMPTON AUDITORY IMPLANT SERVICE,189,144.0,120.0
2026-06-01,NRL,HEART NETWORKS,591,1014.0,1160.0
2026-06-01,NRP,BEACON MEDICAL SERVICES GROUP LIMITED,4392,4066.0,2472.0
2026-06-01,NT202,"NUFFIELD HEALTH, BOURNEMOUTH HOSPITAL",420,238.0,162.0
2026-06-01,NT205,"NUFFIELD HEALTH, BRIGHTON HOSPITAL",781,258.0,230.0
2026-06-01,NT206,"NUFFIELD HEALTH, BRISTOL HOSPITAL (CHESTERFIELD)",571,404.0,466.0
2026-06-01,NT209,"NUFFIELD HEALTH, CAMBRIDGE HOSPITAL",205,116.0,96.0
2026-06-01,NT210,"NUFFIELD HEALTH, THE GROSVENOR HOSPITAL, CHESTER",468,258.0,314.0
2026-06-01,NT212,"NUFFIELD HEALTH, CHICHESTER HOSPITAL",470,236.0,210.0
2026-06-01,NT213,"NUFFIELD HEALTH, DERBY HOSPITAL",1104,322.0,424.0
2026-06-01,NT214,"NUFFIELD HEALTH, WESSEX HOSPITAL",561,216.0,282.0
2026-06-01,NT215,"NUFFIELD HEALTH, EXETER HOSPITAL",363,208.0,136.0
2026-06-01,NT218,"NUFFIELD HEALTH, HAYWARDS HEATH HOSPITAL",430,190.0,166.0
2026-06-01,NT219,"NUFFIELD HEALTH, HEREFORD HOSPITAL",386,274.0,264.0
2026-06-01,NT224,"NUFFIELD HEALTH, WARWICKSHIRE HOSPITAL",435,238.0,196.0
2026-06-01,NT226,"NUFFIELD HEALTH, LEICESTER HOSPITAL",450,416.0,414.0
2026-06-01,NT229,"NUFFIELD HEALTH, NEWCASTLE UPON TYNE HOSPITAL",425,282.0,252.0
2026-06-01,NT230,"NUFFIELD HEALTH, NORTH STAFFORDSHIRE HOSPITAL",1071,336.0,496.0
2026-06-01,NT233,"NUFFIELD HEALTH, PLYMOUTH HOSPITAL",1008,664.0,522.0
2026-06-01,NT235,"NUFFIELD HEALTH, SHREWSBURY HOSPITAL",636,352.0,282.0
2026-06-01,NT237,"NUFFIELD HEALTH, TEES HOSPITAL",1783,872.0,456.0
2026-06-01,NT238,"NUFFIELD HEALTH, TAUNTON HOSPITAL",580,136.0,186.0
2026-06-01,NT239,"NUFFIELD HEALTH, TUNBRIDGE WELLS HOSPITAL",87,106.0,108.0
2026-06-01,NT241,"NUFFIELD HEALTH, WOKING HOSPITAL",340,188.0,262.0
2026-06-01,NT242,"NUFFIELD HEALTH, WOLVERHAMPTON HOSPITAL",499,298.0,188.0
2026-06-01,NT244,NUFFIELD HOSPITAL OXFORD (THE MANOR),113,72.0,52.0
2026-06-01,NT245,"NUFFIELD HEALTH, YORK HOSPITAL",1358,574.0,428.0
2026-06-01,NT301,SPIRE SOUTH BANK HOSPITAL,657,282.0,376.0
2026-06-01,NT302,SPIRE BRISTOL HOSPITAL,800,130.0,434.0
2026-06-01,NT304,SPIRE SOUTHAMPTON HOSPITAL,180,68.0,190.0
2026-06-01,NT305,SPIRE PORTSMOUTH HOSPITAL,426,64.0,256.0
2026-06-01,NT308,SPIRE GATWICK PARK HOSPITAL,1417,562.0,434.0
2026-06-01,NT30A,SPIRE NOTTINGHAM HOSPITAL,652,318.0,300.0
2026-06-01,NT312,SPIRE ALEXANDRA HOSPITAL,1402,690.0,946.0
2026-06-01,NT313,SPIRE WELLESLEY HOSPITAL,1070,216.0,624.0
2026-06-01,NT314,SPIRE LONDON EAST,3521,924.0,1572.0
2026-06-01,NT315,SPIRE BUSHEY HOSPITAL,1138,746.0,540.0
2026-06-01,NT316,SPIRE HARPENDEN HOSPITAL,679,386.0,824.0
2026-06-01,NT317,SPIRE CAMBRIDGE LEA HOSPITAL,428,130.0,230.0
2026-06-01,NT318,SPIRE NORWICH HOSPITAL,765,84.0,408.0
2026-06-01,NT319,SPIRE HARTSWOOD HOSPITAL,954,320.0,744.0
2026-06-01,NT320,SPIRE PARKWAY HOSPITAL,1226,552.0,628.0
2026-06-01,NT321,SPIRE LITTLE ASTON HOSPITAL,1375,822.0,838.0
2026-06-01,NT322,SPIRE LEICESTER HOSPITAL,639,460.0,312.0
2026-06-01,NT324,SPIRE CHESHIRE HOSPITAL,1070,558.0,824.0
2026-06-01,NT325,SPIRE MURRAYFIELD HOSPITAL,782,480.0,838.0
2026-06-01,NT327,SPIRE MANCHESTER HOSPITAL,639,460.0,312.0
2026-06-01,NT332,SPIRE LEEDS HOSPITAL,884,504.0,480.0
